Computer Science and Applied Mathematics,GEN,8455,D,1
Computer Science and Artificial Intelligence,GEN,2942,D,1
Computer Science and Biosciences,GEN,15988,D,1
Computer Science and Design,GEN,9893,D,1
Computer Science and Engineering,GEN,5178,D,1
Computer Science and Social Sciences,GEN,13339,D,1
Electronics and Communication Engineering,GEN,17527,D,1
Electronics and VLSI Engineering,GEN,21932,D,1
Computer Science and Design,GEN,981,OD,1
Electronics and Communication Engineering,GEN,1104,OD,1
Electronics and VLSI Engineering,GEN,5310,OD,1
Computer Science and Applied Mathematics,GEN,13376,D,2
Computer Science and Artificial Intelligence,GEN,5178,D,2
Computer Science and Biosciences,GEN,20359,D,2
Computer Science and Design,GEN,16002,D,2
Computer Science and Engineering,GEN,8322,D,2
Computer Science and Social Sciences,GEN,17123,D,2
Electronics and Communication Engineering,GEN,25049,D,2
Electronics and VLSI Engineering,GEN,27753,D,2
Computer Science and Biosciences,GEN,4554,OD,2
Electronics and Communication Engineering,GEN,4662,OD,2
Electronics and VLSI Engineering,GEN,6324,OD,2
Computer Science and Applied Mathematics,GEN,13376,D,3
Computer Science and Artificial Intelligence,GEN,6427,D,3
Computer Science and Biosciences,GEN,20971,D,3
Computer Science and Design,GEN,16002,D,3
Computer Science and Engineering,GEN,8385,D,3
Computer Science and Social Sciences,GEN,17419,D,3
Electronics and Communication Engineering,GEN,25840,D,3
Electronics and VLSI Engineering,GEN,29308,D,3
Computer Science and Biosciences,GEN,4659,OD,3
Electronics and Communication Engineering,GEN,6006,OD,3
Electronics and VLSI Engineering,GEN,7444,OD,3
Computer Science and Applied Mathematics,GEN,16114,D,4
Computer Science and Artificial Intelligence,GEN,8683,D,4
Computer Science and Biosciences,GEN,25174,D,4
Computer Science and Design,GEN,20553,D,4
Computer Science and Engineering,GEN,10347,D,4
Computer Science and Social Sciences,GEN,20492,D,4
Electronics and Communication Engineering,GEN,29806,D,4
Electronics and VLSI Engineering,GEN,35636,D,4
Computer Science and Applied Mathematics,GEN,4662,OD,4
Computer Science and Artificial Intelligence,GEN,2485,OD,4
Computer Science and Biosciences,GEN,7630,OD,4
Computer Science and Design,GEN,4667,OD,4
Computer Science and Social Sciences,GEN,6870,OD,4
Electronics and Communication Engineering,GEN,7174,OD,4
Electronics and VLSI Engineering,GEN,8818,OD,4
Computer Science and Applied Mathematics,GEN,16230,D,S
Computer Science and Artificial Intelligence,GEN,10173,D,S
Computer Science and Biosciences,GEN,22727,D,S
Computer Science and Design,GEN,19093,D,S
Computer Science and Engineering,GEN,13935,D,S
Electronics and Communication Engineering,GEN,24941,D,S
Computer Science and Applied Mathematics,GEN,10232,OD,S
Computer Science and Artificial Intelligence,GEN,5916,OD,S
Computer Science and Biosciences,GEN,11712,OD,S
Computer Science and Design,GEN,9975,OD,S
Computer Science and Engineering,GEN,6694,OD,S
Computer Science and Social Sciences,GEN,11176,OD,S
Electronics and Communication Engineering,GEN,12018,OD,S
Computer Science and Applied Mathematics,GEN,18796,D,1
Computer Science and Artificial Intelligence,GEN,10173,D,1
Computer Science and Design,GEN,19093,D,1
Computer Science and Engineering,GEN,16230,D,1
Computer Science and Social Sciences,GEN,24941,D,1
Computer Science and Applied Mathematics,GEN,11176,OD,1
Computer Science and Artificial Intelligence,GEN,9299,OD,1
Computer Science and Biosciences,GEN,11640,OD,1
Computer Science and Design,GEN,11712,OD,1
Computer Science and Engineering,GEN,8712,OD,1
Computer Science and Social Sciences,GEN,12018,OD,1
Electronics and Communication Engineering,GEN,13956,OD,1
Electronics and VLSI Engineering,GEN,15066,OD,1
Computer Science and Applied Mathematics,GEN,18796,D,2
Computer Science and Artificial Intelligence,GEN,14231,D,2
Computer Science and Design,GEN,19093,D,2
Computer Science and Engineering,GEN,24148,D,2
Computer Science and Social Sciences,GEN,24941,D,2
Computer Science and Applied Mathematics,GEN,11176,OD,2
Computer Science and Artificial Intelligence,GEN,8950,OD,2
Computer Science and Biosciences,GEN,11770,OD,2
Computer Science and Design,GEN,11712,OD,2
Computer Science and Engineering,GEN,8712,OD,2
Computer Science and Social Sciences,GEN,12018,OD,2
Electronics and Communication Engineering,GEN,13956,OD,2
Electronics and VLSI Engineering,GEN,15066,OD,2
Computer Science and Applied Mathematics,GEN,24941,D,3
Computer Science and Artificial Intelligence,GEN,14231,D,3
Computer Science and Engineering,GEN,19093,D,3
Computer Science and Social Sciences,GEN,22727,D,3
Computer Science and Applied Mathematics,GEN,12018,OD,3
Computer Science and Artificial Intelligence,GEN,11640,OD,3
Computer Science and Biosciences,GEN,15066,OD,3
Computer Science and Design,GEN,14335,OD,3
Computer Science and Engineering,GEN,11404,OD,3
Computer Science and Social Sciences,GEN,15114,OD,3
Computer Science and Applied Mathematics,GEN-DEF,30799,D,1
Computer Science and Artificial Intelligence,GEN-DEF,4648,D,1
Computer Science and Biosciences,GEN-DEF,32756,D,1
Computer Science and Design,GEN-DEF,14385,D,1
Computer Science and Engineering,GEN-DEF,262125,D,1
Computer Science and Social Sciences,GEN-DEF,30757,D,1
Electronics and Communication Engineering,GEN-DEF,40211,D,1
Electronics and VLSI Engineering,GEN-DEF,50038,D,1
Computer Science and Engineering,GEN-DEF,232140,OD,1
Electronics and Communication Engineering,GEN-DEF,11248,OD,1
Computer Science and Applied Mathematics,GEN-DEF,32756,D,2
Computer Science and Artificial Intelligence,GEN-DEF,12237,D,2
Computer Science and Biosciences,GEN-DEF,40211,D,2
Computer Science and Design,GEN-DEF,28514,D,2
Computer Science and Engineering,GEN-DEF,262125,D,2
Computer Science and Social Sciences,GEN-DEF,30757,D,2
Electronics and Communication Engineering,GEN-DEF,61613,D,2
Electronics and VLSI Engineering,GEN-DEF,88618,D,2
