Branch,Category,Jee_Rank,Region,Round
Bio-Technology,General,57216,A) Delhi Region,Round 1
Computer Science and Engineering,General,4695,A) Delhi Region,Round 1
Computer Science and Engineering with specialization in Artificial Intelligence,General,3075,A) Delhi Region,Round 1
Computer Science and Engineering with specialization in Data Science,General,7206,A) Delhi Region,Round 1
Electrical Engineering,General,27305,A) Delhi Region,Round 1
Electronics and Communication Engineering,General,20472,A) Delhi Region,Round 1
Electronics and Communication Engineering with specialization in Internet of Things,General,16802,A) Delhi Region,Round 1
Information Technology,General,9905,A) Delhi Region,Round 1
Information Technology with specialization in Network and Information Security,General,12733,A) Delhi Region,Round 1
Instrumentation and Control Engineering,General,32695,A) Delhi Region,Round 1
Mathematics and Computing,General,13835,A) Delhi Region,Round 1
Mechanical Engineering,General,42080,A) Delhi Region,Round 1
Bio-Technology,General,13837,B) Outside Delhi Region,Round 1
Computer Science and Engineering,General,1896,B) Outside Delhi Region,Round 1
Computer Science and Engineering with specialization in Artificial Intelligence,General,1540,B) Outside Delhi Region,Round 1
Computer Science and Engineering with specialization in Data Science,General,2602,B) Outside Delhi Region,Round 1
Electrical Engineering,General,7106,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering,General,5172,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering with specialization in Internet of Things,General,4827,B) Outside Delhi Region,Round 1
Information Technology,General,3022,B) Outside Delhi Region,Round 1
Information Technology with specialization in Network and Information Security,General,3594,B) Outside Delhi Region,Round 1
Instrumentation and Control Engineering,General,9476,B) Outside Delhi Region,Round 1
Mathematics and Computing,General,3684,B) Outside Delhi Region,Round 1
Mechanical Engineering,General,11320,B) Outside Delhi Region,Round 1
Bio-Technology,General,66986,A) Delhi Region,Round 2
Computer Science and Engineering,General,7659,A) Delhi Region,Round 2
Computer Science and Engineering with specialization in Artificial Intelligence,General,4923,A) Delhi Region,Round 2
Computer Science and Engineering with specialization in Data Science,General,10974,A) Delhi Region,Round 2
Electrical Engineering,General,32333,A) Delhi Region,Round 2
Electronics and Communication Engineering,General,24265,A) Delhi Region,Round 2
Electronics and Communication Engineering with specialization in Internet of Things,General,20364,A) Delhi Region,Round 2
Information Technology,General,13075,A) Delhi Region,Round 2
Information Technology with specialization in Network and Information Security,General,15751,A) Delhi Region,Round 2
Instrumentation and Control Engineering,General,38421,A) Delhi Region,Round 2
Mathematics and Computing,General,18569,A) Delhi Region,Round 2
Mechanical Engineering,General,47444,A) Delhi Region,Round 2
Bio-Technology,General,17789,B) Outside Delhi Region,Round 2
Computer Science and Engineering,General,2946,B) Outside Delhi Region,Round 2
Computer Science and Engineering with specialization in Artificial Intelligence,General,2941,B) Outside Delhi Region,Round 2
Computer Science and Engineering with specialization in Data Science,General,3543,B) Outside Delhi Region,Round 2
Electrical Engineering,General,9238,B) Outside Delhi Region,Round 2
Electronics and Communication Engineering,General,7117,B) Outside Delhi Region,Round 2
Electronics and Communication Engineering with specialization in Internet of Things,General,6587,B) Outside Delhi Region,Round 2
Information Technology,General,4416,B) Outside Delhi Region,Round 2
Information Technology with specialization in Network and Information Security,General,5009,B) Outside Delhi Region,Round 2
Instrumentation and Control Engineering,General,11963,B) Outside Delhi Region,Round 2
Mathematics and Computing,General,5142,B) Outside Delhi Region,Round 2
Mechanical Engineering,General,13976,B) Outside Delhi Region,Round 2
Bio-Technology,General,67028,A) Delhi Region,Round 3
Computer Science and Engineering,General,7659,A) Delhi Region,Round 3
