Branch,Category,Jee_Rank,Region,Round
Civil Engineering,General,57526,A) Delhi Region,Round 1
Geoinformatics,General,61270,A) Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General,49615,A) Delhi Region,Round 1
Architecture,General,1846,A) Delhi Region,Round 1
Civil Engineering,General,13678,B) Outside Delhi Region,Round 1
Geoinformatics,General,15028,B) Outside Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General,12094,B) Outside Delhi Region,Round 1
Architecture,General,965,B) Outside Delhi Region,Round 1
Civil Engineering,General,74827,A) Delhi Region,Round 2
Geoinformatics,General,79373,A) Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General,61698,A) Delhi Region,Round 2
Architecture,General,3770,A) Delhi Region,Round 2
Civil Engineering,General,18713,B) Outside Delhi Region,Round 2
Geoinformatics,General,20306,B) Outside Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General,14745,B) Outside Delhi Region,Round 2
Architecture,General,1155,B) Outside Delhi Region,Round 2
Civil Engineering,General,84737,A) Delhi Region,Round 3
Geoinformatics,General,91535,A) Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General,75264,A) Delhi Region,Round 3
Architecture,General,5748,A) Delhi Region,Round 3
Civil Engineering,General,21533,B) Outside Delhi Region,Round 3
Geoinformatics,General,23785,B) Outside Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General,16629,B) Outside Delhi Region,Round 3
Architecture,General,1214,B) Outside Delhi Region,Round 3
Civil Engineering,General,113635,A) Delhi Region,Round 4
Geoinformatics,General,120679,A) Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General,102885,A) Delhi Region,Round 4
Architecture,General,8411,A) Delhi Region,Round 4
Civil Engineering,General,23794,B) Outside Delhi Region,Round 4
Geoinformatics,General,27061,B) Outside Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General,19654,B) Outside Delhi Region,Round 4
Architecture,General,2161,B) Outside Delhi Region,Round 4
Civil Engineering,General,102607,A) Delhi Region,Upgradation Round
Geoinformatics,General,-,A) Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General,143469,A) Delhi Region,Upgradation Round
Architecture,General,34387,A) Delhi Region,Upgradation Round
Civil Engineering,General,-,B) Outside Delhi Region,Upgradation Round
Geoinformatics,General,-,B) Outside Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General,-,B) Outside Delhi Region,Upgradation Round
Architecture,General,-,B) Outside Delhi Region,Upgradation Round
Civil Engineering,General,383670,A) Delhi Region,Spot Round
Geoinformatics,General,240591,A) Delhi Region,Spot Round
Mechanical Engineering with specialization in Electric Vehicles,General,828598,A) Delhi Region,Spot Round
Architecture,General,34387,A) Delhi Region,Spot Round
Civil Engineering,General,883435,B) Outside Delhi Region,Spot Round
Geoinformatics,General,512935,B) Outside Delhi Region,Spot Round
Mechanical Engineering with specialization in Electric Vehicles,General,287290,B) Outside Delhi Region,Spot Round
Architecture,General,-,B) Outside Delhi Region,Spot Round
Civil Engineering,General Defence,195323 (Priority VI),A) Delhi Region,Round 1
Geoinformatics,General Defence,195353,A) Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Defence,134602,A) Delhi Region,Round 1
Architecture,General Defence,22651,A) Delhi Region,Round 1
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 1
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 1
Architecture,General Defence,-,B) Outside Delhi Region,Round 1
Civil Engineering,General Defence,195323,A) Delhi Region,Round 2
Geoinformatics,General Defence,195353,A) Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Defence,151534,A) Delhi Region,Round 2
Architecture,General Defence,6971,A) Delhi Region,Round 2
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 2
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 2
Architecture,General Defence,-,B) Outside Delhi Region,Round 2
Civil Engineering,General Defence,195323,A) Delhi Region,Round 3
Geoinformatics,General Defence,195353,A) Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Defence,151534,A) Delhi Region,Round 3
Architecture,General Defence,-,A) Delhi Region,Round 3
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 3
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 3
Architecture,General Defence,-,B) Outside Delhi Region,Round 3
Civil Engineering,General Defence,258840 (Priority VI),A) Delhi Region,Round 4
Geoinformatics,General Defence,195353,A) Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Defence,156550,A) Delhi Region,Round 4
Architecture,General Defence,-,A) Delhi Region,Round 4
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 4
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 4
Architecture,General Defence,-,B) Outside Delhi Region,Round 4
Civil Engineering,General Defence,-,A) Delhi Region,Upgradation Round
Geoinformatics,General Defence,-,A) Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,A) Delhi Region,Upgradation Round
Architecture,General Defence,-,A) Delhi Region,Upgradation Round
Civil Engineering,General Defence,-,B) Outside Delhi Region,Upgradation Round
Geoinformatics,General Defence,-,B) Outside Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Upgradation Round
Architecture,General Defence,-,B) Outside Delhi Region,Upgradation Round
Civil Engineering,General Defence,-,A) Delhi Region,Spot Round
Geoinformatics,General Defence,-,A) Delhi Region,Spot Round
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,A) Delhi Region,Spot Round
Architecture,General Defence,-,A) Delhi Region,Spot Round
Civil Engineering,General Defence,-,B) Outside Delhi Region,Spot Round
Geoinformatics,General Defence,-,B) Outside Delhi Region,Spot Round
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Spot Round
Architecture,General Defence,-,B) Outside Delhi Region,Spot Round
Civil Engineering,General Girl Candidate,83507,A) Delhi Region,Round 1
Geoinformatics,General Girl Candidate,78724,A) Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,77013,A) Delhi Region,Round 1
Architecture,General Girl Candidate,-,A) Delhi Region,Round 1
Civil Engineering,General Girl Candidate,19225,B) Outside Delhi Region,Round 1
Geoinformatics,General Girl Candidate,21410,B) Outside Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,17822,B) Outside Delhi Region,Round 1
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 1
Civil Engineering,General Girl Candidate,96084,A) Delhi Region,Round 2
Geoinformatics,General Girl Candidate,98652,A) Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,90591,A) Delhi Region,Round 2
Architecture,General Girl Candidate,-,A) Delhi Region,Round 2
Civil Engineering,General Girl Candidate,26570,B) Outside Delhi Region,Round 2
Geoinformatics,General Girl Candidate,22432,B) Outside Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,24824,B) Outside Delhi Region,Round 2
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 2
Civil Engineering,General Girl Candidate,107965,A) Delhi Region,Round 3
Geoinformatics,General Girl Candidate,108975,A) Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,96714,A) Delhi Region,Round 3
Architecture,General Girl Candidate,-,A) Delhi Region,Round 3
Civil Engineering,General Girl Candidate,26570,B) Outside Delhi Region,Round 3
Geoinformatics,General Girl Candidate,28647,B) Outside Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,23976,B) Outside Delhi Region,Round 3
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 3
Civil Engineering,General Girl Candidate,126278,A) Delhi Region,Round 4
Geoinformatics,General Girl Candidate,126795,A) Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,123048,A) Delhi Region,Round 4
Architecture,General Girl Candidate,-,A) Delhi Region,Round 4
Civil Engineering,General Girl Candidate,28168,B) Outside Delhi Region,Round 4
Geoinformatics,General Girl Candidate,29884,B) Outside Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,26119,B) Outside Delhi Region,Round 4
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 4
Civil Engineering,General PWD,570221,A) Delhi Region,Round 1
