Branch,Category,Jee_Rank,Region,Round
Civil Engineering,General,59554,A) Delhi Region,Round 1
Geoinformatics,General,63963,A) Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General,47390,A) Delhi Region,Round 1
Architecture,General,2025,A) Delhi Region,Round 1
Civil Engineering,General,18505,B) Outside Delhi Region,Round 1
Geoinformatics,General,18958,B) Outside Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General,14098,B) Outside Delhi Region,Round 1
Architecture,General,152,B) Outside Delhi Region,Round 1
Civil Engineering,General,65749,A) Delhi Region,Round 2
Geoinformatics,General,67805,A) Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General,55503,A) Delhi Region,Round 2
Architecture,General,2410,A) Delhi Region,Round 2
Civil Engineering,General,21352,B) Outside Delhi Region,Round 2
Geoinformatics,General,23032,B) Outside Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General,17761,B) Outside Delhi Region,Round 2
Architecture,General,431,B) Outside Delhi Region,Round 2
Civil Engineering,General,66965,A) Delhi Region,Round 3
Geoinformatics,General,71873,A) Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General,58347,A) Delhi Region,Round 3
Architecture,General,3908,A) Delhi Region,Round 3
Civil Engineering,General,24120,B) Outside Delhi Region,Round 3
Geoinformatics,General,24464,B) Outside Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General,18392,B) Outside Delhi Region,Round 3
Architecture,General,924,B) Outside Delhi Region,Round 3
Civil Engineering,General,68229,A) Delhi Region,Round 4
Geoinformatics,General,73836,A) Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General,61744,A) Delhi Region,Round 4
Architecture,General,4238,A) Delhi Region,Round 4
Civil Engineering,General,26165,B) Outside Delhi Region,Round 4
Geoinformatics,General,26671,B) Outside Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General,21521,B) Outside Delhi Region,Round 4
Architecture,General,1274,B) Outside Delhi Region,Round 4
Civil Engineering,General,84121,A) Delhi Region,Round 5
Geoinformatics,General,88631,A) Delhi Region,Round 5
Mechanical Engineering with specialization in Electric Vehicles,General,75156,A) Delhi Region,Round 5
Architecture,General,6219,A) Delhi Region,Round 5
Civil Engineering,General,30115,B) Outside Delhi Region,Round 5
Geoinformatics,General,31389,B) Outside Delhi Region,Round 5
Mechanical Engineering with specialization in Electric Vehicles,General,25061,B) Outside Delhi Region,Round 5
Architecture,General,1449,B) Outside Delhi Region,Round 5
Civil Engineering,General,116120,A) Delhi Region,Upgradation Round
Geoinformatics,General,-,A) Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General,148509,A) Delhi Region,Upgradation Round
Architecture,General,34109,A) Delhi Region,Upgradation Round
Civil Engineering,General,-,B) Outside Delhi Region,Upgradation Round
Geoinformatics,General,-,B) Outside Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General,-,B) Outside Delhi Region,Upgradation Round
Architecture,General,2989,B) Outside Delhi Region,Upgradation Round
Civil Engineering,General,355319,A) Delhi Region,Spot Round
Geoinformatics,General,1196585,A) Delhi Region,Spot Round
Mechanical Engineering with specialization in Electric Vehicles,General,161937,A) Delhi Region,Spot Round
Architecture,General,34109,A) Delhi Region,Spot Round
Civil Engineering,General,84315,B) Outside Delhi Region,Spot Round
Geoinformatics,General,98214,B) Outside Delhi Region,Spot Round
Mechanical Engineering with specialization in Electric Vehicles,General,78336,B) Outside Delhi Region,Spot Round
Architecture,General,2989,B) Outside Delhi Region,Spot Round
Civil Engineering,General,1151564,A) Delhi Region,Upgradation Round 2
Geoinformatics,General,1154212,A) Delhi Region,Upgradation Round 2
Mechanical Engineering with specialization in Electric Vehicles,General,772897,A) Delhi Region,Upgradation Round 2
Architecture,General,32861,A) Delhi Region,Upgradation Round 2
Civil Engineering,General,108192,B) Outside Delhi Region,Upgradation Round 2
Geoinformatics,General,430064,B) Outside Delhi Region,Upgradation Round 2
Mechanical Engineering with specialization in Electric Vehicles,General,288206,B) Outside Delhi Region,Upgradation Round 2
Architecture,General,2989,B) Outside Delhi Region,Upgradation Round 2
Civil Engineering,General Defence,162479,A) Delhi Region,Round 1
Geoinformatics,General Defence,164207 (Priority VI),A) Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Defence,88675,A) Delhi Region,Round 1
Architecture,General Defence,-,A) Delhi Region,Round 1
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 1
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 1
Architecture,General Defence,-,B) Outside Delhi Region,Round 1
Civil Engineering,General Defence,162479,A) Delhi Region,Round 2
Geoinformatics,General Defence,180695 (Priority VI),A) Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Defence,127177,A) Delhi Region,Round 2
Architecture,General Defence,-,A) Delhi Region,Round 2
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 2
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 2
Architecture,General Defence,-,B) Outside Delhi Region,Round 2
Civil Engineering,General Defence,162479,A) Delhi Region,Round 3
Geoinformatics,General Defence,180695 (Priority VI),A) Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Defence,127177,A) Delhi Region,Round 3
Architecture,General Defence,-,A) Delhi Region,Round 3
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 3
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 3
Architecture,General Defence,-,B) Outside Delhi Region,Round 3
Civil Engineering,General Defence,162479 (Priority VI),A) Delhi Region,Round 4
Geoinformatics,General Defence,180695 (Priority VI),A) Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Defence,127177 (Priority VI),A) Delhi Region,Round 4
Architecture,General Defence,-,A) Delhi Region,Round 4
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 4
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 4
Architecture,General Defence,-,B) Outside Delhi Region,Round 4
Civil Engineering,General Defence,193015 (Priority VI),A) Delhi Region,Round 5
Geoinformatics,General Defence,195338 (Priority VI),A) Delhi Region,Round 5
Mechanical Engineering with specialization in Electric Vehicles,General Defence,184421 (Priority VI),A) Delhi Region,Round 5
Architecture,General Defence,34909 (Priority VI),A) Delhi Region,Round 5
Civil Engineering,General Defence,-,B) Outside Delhi Region,Round 5
Geoinformatics,General Defence,-,B) Outside Delhi Region,Round 5
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Round 5
Architecture,General Defence,-,B) Outside Delhi Region,Round 5
Civil Engineering,General Defence,-,A) Delhi Region,Upgradation Round
Geoinformatics,General Defence,-,A) Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,A) Delhi Region,Upgradation Round
Architecture,General Defence,-,A) Delhi Region,Upgradation Round
Civil Engineering,General Defence,-,B) Outside Delhi Region,Upgradation Round
Geoinformatics,General Defence,-,B) Outside Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General Defence,-,B) Outside Delhi Region,Upgradation Round
Architecture,General Defence,-,B) Outside Delhi Region,Upgradation Round
Civil Engineering,General Girl Candidate,84467,A) Delhi Region,Round 1
Geoinformatics,General Girl Candidate,83751,A) Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,80642,A) Delhi Region,Round 1
Architecture,General Girl Candidate,-,A) Delhi Region,Round 1
Civil Engineering,General Girl Candidate,28138,B) Outside Delhi Region,Round 1
Geoinformatics,General Girl Candidate,29231,B) Outside Delhi Region,Round 1
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,23614,B) Outside Delhi Region,Round 1
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 1
Civil Engineering,General Girl Candidate,93799,A) Delhi Region,Round 2
Geoinformatics,General Girl Candidate,93848,A) Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,86341,A) Delhi Region,Round 2
Architecture,General Girl Candidate,-,A) Delhi Region,Round 2
Civil Engineering,General Girl Candidate,30911,B) Outside Delhi Region,Round 2
Geoinformatics,General Girl Candidate,29231,B) Outside Delhi Region,Round 2
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,30023,B) Outside Delhi Region,Round 2
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 2
Civil Engineering,General Girl Candidate,93687,A) Delhi Region,Round 3
Geoinformatics,General Girl Candidate,95327,A) Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,86341,A) Delhi Region,Round 3
Architecture,General Girl Candidate,-,A) Delhi Region,Round 3
Civil Engineering,General Girl Candidate,35620,B) Outside Delhi Region,Round 3
Geoinformatics,General Girl Candidate,29231,B) Outside Delhi Region,Round 3
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,34911,B) Outside Delhi Region,Round 3
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 3
Civil Engineering,General Girl Candidate,93687,A) Delhi Region,Round 4
Geoinformatics,General Girl Candidate,95327,A) Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,86341,A) Delhi Region,Round 4
Architecture,General Girl Candidate,-,A) Delhi Region,Round 4
Civil Engineering,General Girl Candidate,38879,B) Outside Delhi Region,Round 4
Geoinformatics,General Girl Candidate,34479,B) Outside Delhi Region,Round 4
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,37926,B) Outside Delhi Region,Round 4
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 4
Civil Engineering,General Girl Candidate,107062,A) Delhi Region,Round 5
Geoinformatics,General Girl Candidate,116027,A) Delhi Region,Round 5
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,105529,A) Delhi Region,Round 5
Architecture,General Girl Candidate,-,A) Delhi Region,Round 5
Civil Engineering,General Girl Candidate,42085,B) Outside Delhi Region,Round 5
Geoinformatics,General Girl Candidate,40724,B) Outside Delhi Region,Round 5
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,39574,B) Outside Delhi Region,Round 5
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Round 5
Civil Engineering,General Girl Candidate,-,A) Delhi Region,Upgradation Round
Geoinformatics,General Girl Candidate,-,A) Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,-,A) Delhi Region,Upgradation Round
Architecture,General Girl Candidate,-,A) Delhi Region,Upgradation Round
Civil Engineering,General Girl Candidate,-,B) Outside Delhi Region,Upgradation Round
Geoinformatics,General Girl Candidate,-,B) Outside Delhi Region,Upgradation Round
Mechanical Engineering with specialization in Electric Vehicles,General Girl Candidate,-,B) Outside Delhi Region,Upgradation Round
Architecture,General Girl Candidate,-,B) Outside Delhi Region,Upgradation Round
Civil Engineering,General PWD,-,A) Delhi Region,Round 1
