Branch,Category,Jee_Rank,Region,Round
Civil Engineering,GEN,59554,D,1
Geoinformatics,GEN,63963,D,1
Mechanical Engineering with specialization in Electric Vehicles,GEN,47390,D,1
Architecture,GEN,2025,D,1
Civil Engineering,GEN,18505,OD,1
Geoinformatics,GEN,18958,OD,1
Mechanical Engineering with specialization in Electric Vehicles,GEN,14098,OD,1
Architecture,GEN,152,OD,1
Civil Engineering,GEN,65749,D,2
Geoinformatics,GEN,67805,D,2
Mechanical Engineering with specialization in Electric Vehicles,GEN,55503,D,2
Architecture,GEN,2410,D,2
Civil Engineering,GEN,21352,OD,2
Geoinformatics,GEN,23032,OD,2
Mechanical Engineering with specialization in Electric Vehicles,GEN,17761,OD,2
Architecture,GEN,431,OD,2
Civil Engineering,GEN,66965,D,3
Geoinformatics,GEN,71873,D,3
Mechanical Engineering with specialization in Electric Vehicles,GEN,58347,D,3
Architecture,GEN,3908,D,3
Civil Engineering,GEN,24120,OD,3
Geoinformatics,GEN,24464,OD,3
Mechanical Engineering with specialization in Electric Vehicles,GEN,18392,OD,3
Architecture,GEN,924,OD,3
Civil Engineering,GEN,68229,D,4
Geoinformatics,GEN,73836,D,4
Mechanical Engineering with specialization in Electric Vehicles,GEN,61744,D,4
Architecture,GEN,4238,D,4
Civil Engineering,GEN,26165,OD,4
Geoinformatics,GEN,26671,OD,4
Mechanical Engineering with specialization in Electric Vehicles,GEN,21521,OD,4
Architecture,GEN,1274,OD,4
Civil Engineering,GEN,84121,D,5
Geoinformatics,GEN,88631,D,5
Mechanical Engineering with specialization in Electric Vehicles,GEN,75156,D,5
Architecture,GEN,6219,D,5
Civil Engineering,GEN,30115,OD,5
Geoinformatics,GEN,31389,OD,5
Mechanical Engineering with specialization in Electric Vehicles,GEN,25061,OD,5
Architecture,GEN,1449,OD,5
Civil Engineering,GEN,116120,D,U1
Mechanical Engineering with specialization in Electric Vehicles,GEN,148509,D,U1
Architecture,GEN,34109,D,U1
Architecture,GEN,2989,OD,U1
Civil Engineering,GEN,355319,D,S
Geoinformatics,GEN,1196585,D,S
Mechanical Engineering with specialization in Electric Vehicles,GEN,161937,D,S
Architecture,GEN,34109,D,S
Civil Engineering,GEN,84315,OD,S
Geoinformatics,GEN,98214,OD,S
Mechanical Engineering with specialization in Electric Vehicles,GEN,78336,OD,S
Architecture,GEN,2989,OD,S
Civil Engineering,GEN,1151564,D,U2
Geoinformatics,GEN,1154212,D,U2
Mechanical Engineering with specialization in Electric Vehicles,GEN,772897,D,U2
Architecture,GEN,32861,D,U2
Civil Engineering,GEN,108192,OD,U2
Geoinformatics,GEN,430064,OD,U2
Mechanical Engineering with specialization in Electric Vehicles,GEN,288206,OD,U2
Architecture,GEN,2989,OD,U2
Civil Engineering,GEN-DEF,162479,D,1
Geoinformatics,GEN-DEF,164207 (Priority VI),D,1
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,88675,D,1
Civil Engineering,GEN-DEF,162479,D,2
Geoinformatics,GEN-DEF,180695 (Priority VI),D,2
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,127177,D,2
Civil Engineering,GEN-DEF,162479,D,3
Geoinformatics,GEN-DEF,180695 (Priority VI),D,3
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,127177,D,3
Civil Engineering,GEN-DEF,162479 (Priority VI),D,4
Geoinformatics,GEN-DEF,180695 (Priority VI),D,4
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,127177 (Priority VI),D,4
Civil Engineering,GEN-DEF,193015 (Priority VI),D,5
Geoinformatics,GEN-DEF,195338 (Priority VI),D,5
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,184421 (Priority VI),D,5
Architecture,GEN-DEF,34909 (Priority VI),D,5
Civil Engineering,GENGirlCandidate,84467,D,1
Geoinformatics,GENGirlCandidate,83751,D,1
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,80642,D,1
Civil Engineering,GENGirlCandidate,28138,OD,1
Geoinformatics,GENGirlCandidate,29231,OD,1
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,23614,OD,1
Civil Engineering,GENGirlCandidate,93799,D,2
Geoinformatics,GENGirlCandidate,93848,D,2
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,86341,D,2
Civil Engineering,GENGirlCandidate,30911,OD,2
Geoinformatics,GENGirlCandidate,29231,OD,2
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,30023,OD,2
Civil Engineering,GENGirlCandidate,93687,D,3
Geoinformatics,GENGirlCandidate,95327,D,3
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,86341,D,3
Civil Engineering,GENGirlCandidate,35620,OD,3
Geoinformatics,GENGirlCandidate,29231,OD,3
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,34911,OD,3
Civil Engineering,GENGirlCandidate,93687,D,4
Geoinformatics,GENGirlCandidate,95327,D,4
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,86341,D,4
Civil Engineering,GENGirlCandidate,38879,OD,4
Geoinformatics,GENGirlCandidate,34479,OD,4
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,37926,OD,4
Civil Engineering,GENGirlCandidate,107062,D,5
Geoinformatics,GENGirlCandidate,116027,D,5
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,105529,D,5
Civil Engineering,GENGirlCandidate,42085,OD,5
Geoinformatics,GENGirlCandidate,40724,OD,5
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,39574,OD,5
Civil Engineering,EWS,93497,D,1
Geoinformatics,EWS,96210,D,1
Mechanical Engineering with specialization in Electric Vehicles,EWS,80306,D,1
Architecture,EWS,8959,D,1
Civil Engineering,EWS,20372,OD,1
Mechanical Engineering with specialization in Electric Vehicles,EWS,17789,OD,1
Architecture,EWS,2242,OD,1
Civil Engineering,EWS,109334,D,2
Geoinformatics,EWS,121767,D,2
Mechanical Engineering with specialization in Electric Vehicles,EWS,98993,D,2
Architecture,EWS,9353,D,2
Civil Engineering,EWS,24866,OD,2
Mechanical Engineering with specialization in Electric Vehicles,EWS,24424,OD,2
Architecture,EWS,2307,OD,2
Civil Engineering,EWS,117025,D,3
Geoinformatics,EWS,134446,D,3
Mechanical Engineering with specialization in Electric Vehicles,EWS,99045,D,3
Architecture,EWS,17601,D,3
Civil Engineering,EWS,28838,OD,3
Mechanical Engineering with specialization in Electric Vehicles,EWS,25397,OD,3
Architecture,EWS,3258,OD,3
Civil Engineering,EWS,120624,D,4
Geoinformatics,EWS,136696,D,4
Mechanical Engineering with specialization in Electric Vehicles,EWS,101671,D,4
Architecture,EWS,19249,D,4
Civil Engineering,EWS,34370,OD,4
Mechanical Engineering with specialization in Electric Vehicles,EWS,28294,OD,4
Architecture,EWS,4811,OD,4
Civil Engineering,EWS,158779,D,5
Geoinformatics,EWS,173994,D,5
Mechanical Engineering with specialization in Electric Vehicles,EWS,148509,D,5
Architecture,EWS,21924,D,5
Civil Engineering,EWS,40251,OD,5
Mechanical Engineering with specialization in Electric Vehicles,EWS,34499,OD,5
Architecture,EWS,5628,OD,5
Mechanical Engineering with specialization in Electric Vehicles,EWS,218460,D,U1
Civil Engineering,EWS,535231,D,S
Mechanical Engineering with specialization in Electric Vehicles,EWS,248927,D,S
Civil Engineering,EWS,67796,OD,S
Mechanical Engineering with specialization in Electric Vehicles,EWS,63551,OD,S
Civil Engineering,EWSGirlCandidate,173725,D,1
Geoinformatics,EWSGirlCandidate,184979,D,1
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,165305,D,1
Civil Engineering,EWSGirlCandidate,36193,OD,1
Civil Engineering,EWSGirlCandidate,175414,D,2
Geoinformatics,EWSGirlCandidate,187890,D,2
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,165305,D,2
Civil Engineering,EWSGirlCandidate,41844,OD,2
Civil Engineering,EWSGirlCandidate,190122,D,3
Geoinformatics,EWSGirlCandidate,209143,D,3
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,165335,D,3
Civil Engineering,EWSGirlCandidate,42416,OD,3
Civil Engineering,EWSGirlCandidate,190122,D,4
Geoinformatics,EWSGirlCandidate,209143,D,4
